state,county,date,m50_count
Alabama,Jefferson County,2020-03-11,99
Alabama,Jefferson County,2020-03-12,105
Alabama,Jefferson County,2020-03-13,109
Alabama,Jefferson County,2020-03-16,82
Alabama,Jefferson County,2020-03-17,68
Alabama,Jefferson County,2020-03-18,60
Alabama,Jefferson County,2020-03-19,63
Alabama,Jefferson County,2020-03-20,67
Alabama,Lamar County,2020-03-02,99
Alabama,Lamar County,2020-03-03,105
Alabama,Lamar County,2020-03-04,89
Alabama,Lamar County,2020-03-05,107
Alabama,Lamar County,2020-03-06,115
Alabama,Lamar County,2020-03-09,105
Alabama,Lamar County,2020-03-10,93
Alabama,Lamar County,2020-03-11,97
Alabama,Lamar County,2020-03-12,108
Alabama,Lamar County,2020-03-13,114
Alabama,Lamar County,2020-03-16,93
Alabama,Lamar County,2020-03-17,87
Alabama,Lamar County,2020-03-18,75
Alabama,Lamar County,2020-03-19,90
Alabama,Lamar County,2020-03-20,86
Alabama,Lauderdale County,2020-03-02,93
Alabama,Lauderdale County,2020-03-03,99
Alabama,Lauderdale County,2020-03-04,100
Alabama,Lauderdale County,2020-03-05,106
Alabama,Lauderdale County,2020-03-06,116
Alabama,Lauderdale County,2020-03-09,98
Alabama,Lauderdale County,2020-03-10,95
Alabama,Lauderdale County,2020-03-11,97
Alabama,Lauderdale County,2020-03-12,107
Alabama,Lauderdale County,2020-03-13,107
Alabama,Lauderdale County,2020-03-16,96
Alabama,Lauderdale County,2020-03-17,78
Alabama,Lauderdale County,2020-03-18,77
Alabama,Lauderdale County,2020-03-19,80
Alabama,Lauderdale County,2020-03-20,73
Alabama,Lawrence County,2020-03-02,97
Alabama,Lawrence County,2020-03-03,93
Alabama,Lawrence County,2020-03-04,97
Alabama,Lawrence County,2020-03-05,101
Alabama,Lawrence County,2020-03-06,109
Alabama,Lawrence County,2020-03-09,103
Alabama,Lawrence County,2020-03-10,107
Alabama,Lawrence County,2020-03-11,95
Alabama,Lawrence County,2020-03-12,100
Alabama,Lawrence County,2020-03-13,109
Alabama,Lawrence County,2020-03-16,82
Alabama,Lawrence County,2020-03-17,62
Alabama,Lawrence County,2020-03-18,60
Alabama,Lawrence County,2020-03-19,66
Alabama,Lawrence County,2020-03-20,57
Alabama,Lee County,2020-03-02,97
Alabama,Lee County,2020-03-03,96
Alabama,Lee County,2020-03-04,97
Alabama,Lee County,2020-03-05,106
Alabama,Lee County,2020-03-06,149
Alabama,Lee County,2020-03-09,137
Alabama,Lee County,2020-03-10,138
Alabama,Lee County,2020-03-11,137
Alabama,Lee County,2020-03-12,141
Alabama,Lee County,2020-03-13,140
Alabama,Lee County,2020-03-16,102
Alabama,Lee County,2020-03-17,93
Alabama,Lee County,2020-03-18,88
Alabama,Lee County,2020-03-19,93
Alabama,Lee County,2020-03-20,98
Alabama,Limestone County,2020-03-02,96
Alabama,Limestone County,2020-03-03,97
Alabama,Limestone County,2020-03-04,100
Alabama,Limestone County,2020-03-05,105
Alabama,Limestone County,2020-03-06,118
Alabama,Limestone County,2020-03-09,97
Alabama,Limestone County,2020-03-10,96
Alabama,Limestone County,2020-03-11,95
Alabama,Limestone County,2020-03-12,102
Alabama,Limestone County,2020-03-13,105
Alabama,Limestone County,2020-03-16,77
Alabama,Limestone County,2020-03-17,63
Alabama,Limestone County,2020-03-18,57
Alabama,Limestone County,2020-03-19,57
Alabama,Limestone County,2020-03-20,61
Alabama,Lowndes County,2020-03-02,89
Alabama,Lowndes County,2020-03-03,93
Alabama,Lowndes County,2020-03-04,95
Alabama,Lowndes County,2020-03-05,97
Alabama,Lowndes County,2020-03-06,106
Alabama,Lowndes County,2020-03-09,103
Alabama,Lowndes County,2020-03-10,111
Alabama,Lowndes County,2020-03-11,106
Alabama,Lowndes County,2020-03-12,106
Alabama,Lowndes County,2020-03-13,111
Alabama,Lowndes County,2020-03-16,99
Alabama,Lowndes County,2020-03-17,92
Alabama,Lowndes County,2020-03-18,93
Alabama,Lowndes County,2020-03-19,107
Alabama,Lowndes County,2020-03-20,99
Alabama,Macon County,2020-03-02,132
Alabama,Macon County,2020-03-03,100
Alabama,Macon County,2020-03-04,55
Alabama,Macon County,2020-03-05,117
Alabama,Macon County,2020-03-06,156
Alabama,Macon County,2020-03-09,132
Alabama,Macon County,2020-03-10,97
Alabama,Macon County,2020-03-11,151
Alabama,Macon County,2020-03-12,120
Alabama,Macon County,2020-03-13,137
Alabama,Macon County,2020-03-16,114
Alabama,Macon County,2020-03-17,99
Alabama,Macon County,2020-03-18,37
Alabama,Macon County,2020-03-19,53
Alabama,Macon County,2020-03-20,151
Alabama,Madison County,2020-03-02,93
Alabama,Madison County,2020-03-03,96
Alabama,Madison County,2020-03-04,97
Alabama,Madison County,2020-03-05,103
Alabama,Madison County,2020-03-06,108
Alabama,Madison County,2020-03-09,97
Alabama,Madison County,2020-03-10,97
Alabama,Madison County,2020-03-11,98
Alabama,Madison County,2020-03-12,101
Alabama,Madison County,2020-03-13,103
Alabama,Madison County,2020-03-16,78
Alabama,Madison County,2020-03-17,64
Alabama,Madison County,2020-03-18,57
Alabama,Madison County,2020-03-19,57
Alabama,Madison County,2020-03-20,55
Alabama,Marengo County,2020-03-02,87
Alabama,Marengo County,2020-03-03,101
Alabama,Marengo County,2020-03-04,92
Alabama,Marengo County,2020-03-05,98
Alabama,Marengo County,2020-03-06,129
Alabama,Marengo County,2020-03-09,72
Alabama,Marengo County,2020-03-10,93
Alabama,Marengo County,2020-03-11,72
Alabama,Marengo County,2020-03-12,118
